hex,type,flight,r,t,desc,ownOp,year,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dst,dir,nav_modes,geom_rate,true_heading,calc_track,time,dbFlags
a97c9a,adsb_icao,FFT1821 ,N710FR,A321,AIRBUS A-321,WILMINGTON TRUST CO TRUSTEE,2016.0,34000,33475.0,424.4,252.16,-64.0,4175.0,none,A3,1012.8,34016.0,,38.52342,-106.797546,8,186,0.457,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],111517329,0.0,-26.6,111.413,229.6,,,,,1742360434.001,
a51f0f,adsb_icao,SWA4289 ,N429WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2002.0,38025,37875.0,392.1,241.02,64.0,1355.0,none,A3,1013.6,38016.0,232.03,36.730321,-106.705296,8,186,19.071,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],141010825,19.1,-29.7,197.921,204.7,,,,,1742360434.001,
adbe91,adsb_icao,JBU988  ,N985JT,A321,AIRBUS A-321,JETBLUE AIRWAYS CORP,2017.0,34925,34800.0,510.1,75.58,64.0,7227.0,none,A3,1013.6,35008.0,0.0,36.02673,-106.59292,8,186,5.738,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],1947135703,0.9,-21.5,235.47,199.3,,,,,1742360434.001,
a475a3,adsb_icao,DAL779  ,N387DN,A321,AIRBUS A-321,DELTA AIR LINES INC,2019.0,36000,35825.0,393.3,262.55,0.0,1473.0,none,A3,1013.6,36000.0,0.0,36.636704,-106.561656,8,186,18.637,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],156974310,13.9,-24.2,200.482,202.2,,,,,1742360434.001,
a62695,adsb_icao,SKW5347 ,N496CA,CRJ2,BOMBARDIER Regional Jet CRJ-200,SKYWEST AIRLINES INC,2003.0,5525,5600.0,138.6,43.83,,5103.0,none,A2,1018.4,7488.0,,42.883026,-106.488626,8,186,0.238,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],41871240,0.2,-7.3,200.479,340.8,,-640.0,,,1742360434.001,
a5ca89,adsb_icao,SWA1313 ,N472WN,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2004.0,40000,39900.0,406.7,266.76,-64.0,7130.0,none,A3,1013.6,40000.0,260.86,37.552139,-106.465759,8,186,0.226,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],121060203,0.2,-19.2,148.425,208.2,,,,,1742360434.001,
a47cd1,adsb_icao,ATN3388 ,N389AZ,B763,BOEING 767-300,CARGO AIRCRAFT MANAGEMENT INC,1995.0,38025,37700.0,430.6,253.54,0.0,6715.0,none,A5,1013.6,38016.0,244.69,38.920898,-106.340312,8,186,0.254,2.0,1.0,10.0,2.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],67746641,0.2,-23.7,79.654,232.3,,,,,1742360434.001,
a1ce99,adsb_icao,JBU1723 ,N2151J,A21N,AIRBUS A-321neo,JETBLUE AIRWAYS CORP,2023.0,34000,33625.0,411.4,251.43,64.0,2604.0,none,A3,1013.6,34016.0,0.0,37.68956,-106.321301,8,186,0.012,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],163255399,0.0,-19.8,137.957,207.3,,,,,1742360434.001,
a77c11,adsb_icao,UAL800  ,N58101,B752,BOEING 757-200,UNITED AIRLINES INC,1994.0,31225,30550.0,442.9,263.39,1152.0,3275.0,none,A4,1013.6,36000.0,253.83,39.81152,-106.278687,8,186,0.298,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],143632594,0.0,-20.3,59.61,274.6,,,,,1742360434.001,
acd619,adsb_icao,SKW5132 ,N926SW,CRJ2,BOMBARDIER Regional Jet CRJ-200,SKYWEST AIRLINES INC,2002.0,30000,29375.0,455.6,323.03,,3251.0,none,A2,1012.8,30016.0,,42.354064,-106.251718,8,186,0.022,2.0,1.0,10.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],87791976,0.0,-5.5,167.065,340.4,,64.0,,,1742360434.001,
ab38a1,adsb_icao,DAL656  ,N822DN,B739,BOEING 737-900,DELTA AIR LINES INC,2014.0,34000,33450.0,420.0,275.6,0.0,3142.0,none,A3,1013.6,34016.0,265.78,38.986894,-106.175415,8,186,0.254,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],136162757,0.0,-14.7,71.18,231.0,,,,,1742360434.001,
a4ea77,adsb_icao,AAL305  ,N416AN,A21N,AIRBUS A-321neo,AMERICAN AIRLINES INC,2020.0,35975,35275.0,450.3,298.96,0.0,5667.0,none,A3,1012.8,36000.0,,43.815994,-106.089797,8,186,0.238,2.0,1.0,9.0,1.0,3.0,perhour,2.0,3.0,0.0,0.0,[],[],136407900,0.2,-10.0,249.667,349.0,,,,,1742360434.001,
a28ee7,adsb_icao,SWA4066 ,N264LV,B737,BOEING 737-700,SOUTHWEST AIRLINES CO,2007.0,38000,37425.0,442.5,307.93,0.0,1430.0,none,A3,1013.6,38016.0,298.83,41.809961,-105.94327,8,186,0.022,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],126796616,0.0,-19.8,131.663,341.1,,,,,1742360434.001,
abd204,adsb_icao,SWA2380 ,N8606C,B738,BOEING 737-800,UMB BANK NA TRUSTEE,,38000,37800.0,418.2,256.73,-64.0,6234.0,none,A3,1013.6,38016.0,248.91,38.218223,-105.800071,8,186,0.012,2.0,1.0,10.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],132178105,0.0,-18.0,98.833,202.7,,,,,1742360434.001,
4ba956,adsb_icao,THY10   ,TC-JJV,B77W,BOEING 777-300ER,,,31000,30350.0,522.9,32.5,0.0,1026.0,none,A5,1012.8,31008.0,25.31,43.699005,-105.748313,8,186,54.29,2.0,1.0,9.0,1.0,3.0,perhour,,,0.0,0.0,[],[],83783977,54.3,-12.9,240.16,352.1,,,,,1742360434.001,
